Status,Page Type,Section,Entity + Attribute,URL (.html flat),Live URL,Primary Keyword,"Vol (KE, UK)",KE Comp,CPC (GBP),"Keyword Cluster (Vol = Keywords Everywhere, UK)",Page Purpose,Priority,Phase,Internal Links TO,Internal Links FROM,Notes

"POSITIONING: B2B + education + public sector ONLY. Hard minimum of 10 major IT units per collection (laptops/PCs/servers/monitors). NO consumer/household. Static .html site - every page hand-built. Volumes = Keywords Everywhere (UK, GKP). Consumer head terms targeted only on their business/bulk slice.",,,,,,,,,,,,,,,,

ROOT,,,,,,,,,,,,,,,,

✅ PUBLISHED,Root,Core,"Clearcycle IT - Secure IT Recycling for Business, Schools & Public Sector",/,https://clearcycleit.co.uk/,itad,880,0.17,1.84,"it asset disposal (260), it disposal (210), it recycling (480), computer recycling (880), secure it recycling, business it recycling (20)",Homepage / central entity. Leads on B2B+education+public-sector framing and the 10-item free-collection hook. Links to all core service + sector pages.,P0,1,"All core service pages, all sector pages, free collection",All pages (sitewide nav),Live. Audit H1/title for 'IT asset disposal' + 'IT recycling' co-occurrence; ensure 10-item minimum + 'no consumer' stated above the fold.

CORE SERVICE PAGES,,,,,,,,,,,,,,,,

✅ PUBLISHED,Service,Core,IT Asset Disposal (ITAD) for Business,/it-asset-disposal.html,https://clearcycleit.co.uk/it-asset-disposal.html,it asset disposal,260,0.2,2.22,"itad (880), it disposal (210), it disposal company (260), it equipment disposal (170), it disposal services (30)","Primary commercial page - full ITAD overview, process, compliance, sectors, chain of custody.",P0,1,"Data destruction, WEEE recycling, hard drive destruction, IT equipment recycling, asset recovery, free collection, sector pages, What is ITAD guide","Homepage, all outer guides",Live. Review for full cluster coverage + sector and 10-item internal links.

✅ PUBLISHED,Service,Core,WEEE Recycling for Businesses,/weee-recycling.html,https://clearcycleit.co.uk/weee-recycling.html,weee recycling,1900,0.42,0.79,"weee disposal (1900, same close-variant group), weee waste disposal (170), electronic waste disposal (880), e waste collection (260)","Dedicated WEEE / e-waste service page. Licensed carrier, transfer notes, 0% landfill, business collections.",P0,1,"IT equipment recycling, IT asset disposal, WEEE regulations guide, waste transfer notes guide, free collection","Homepage, IT recycling page, WEEE regs guide","Live. Highest single head term (1900). Frame as business/bulk e-waste, not household."

✅ PUBLISHED,Service,Core,Secure Data Destruction,/secure-data-destruction.html,https://clearcycleit.co.uk/secure-data-destruction.html,data destruction,320,0.16,2.18,"secure data destruction (170), data destruction services (170), data destruction certificate (260), certificate of data destruction (260, same group), HMG Infosec Standard 5","Data destruction page - HMG Infosec 5 wiping, physical shredding, certificates per serial, GDPR.",P0,1,"Hard drive destruction, IT asset disposal, GDPR guide, certificate of destruction guide","Homepage, all core pages, compliance guides",Live. Strong cluster. Lead on HMG Infosec 5 + Certificates of Destruction.

✅ PUBLISHED,Service,Core,IT Equipment Recycling (Business & Bulk),/it-equipment-recycling.html,https://clearcycleit.co.uk/it-equipment-recycling.html,it recycling,480,0.33,2.01,"computer recycling (880), laptop recycling (1300), it equipment recycling (140), it recycling company (260), monitor recycling (170), business it recycling (20)","Equipment-recycling page distinct from WEEE - captures the 'recycling' head terms for business/bulk fleets. Asset value recovery, 0% landfill.",P1,2,"WEEE recycling, IT asset disposal, asset recovery, free collection","Homepage, WEEE page, sector pages","BIGGEST GAP - ~2,970 cluster. BUT laptop/computer recycling head terms carry heavy consumer intent; target the business/bulk slice (10+ items) only, do not chase single-item searchers who can't be satisfied by the 10-item offer."

✅ PUBLISHED,Service,Core,Hard Drive Destruction & Shredding,/hard-drive-destruction.html,https://clearcycleit.co.uk/hard-drive-destruction.html,hard drive destruction,320,0.17,0.96,"hard drive shredding (140), secure hard drive destruction (170), how to destroy a hard drive (390, info - link from guide)","Dedicated HDD/SSD destruction page - on-site and off-site shredding, video evidence, certificate per serial.",P1,2,"Secure data destruction, IT asset disposal, certificate of destruction guide, how-to guide","Homepage, data destruction page, all outer guides",~630 commercial cluster. Low KE competition. Pairs with the how-to guide as an informational funnel.

✅ PUBLISHED,Service,Core,Free Business IT Collection (10-Item Minimum),/free-it-collection.html,https://clearcycleit.co.uk/free-it-collection.html,e waste collection,260,0.58,0.7,"free it collection, business it collection, nationwide it collection, it collection service","USP / eligibility + conversion page. Owns the 10-major-item minimum as its own entity: who qualifies, what counts, eligibility checker, nationwide tracked fleet, DBS-checked teams.",P1,2,"IT asset disposal, WEEE recycling, contact / book collection","Homepage, every service + sector page (CTA links)",This is where the 10-item rule lives. Explicitly states accessories don't count toward the 10 but are taken free alongside. Filters out consumer/single-item enquiries.

🔲 TO BUILD,Service,Core,Corporate IT Disposal (Bulk & Multi-Site),/corporate-it-disposal.html,,business computer disposal,70,0.08,,"corporate it disposal (20), computer disposal (480, business slice), bulk computer recycling (0), it disposal for business (0), office clearance it (0)","Explicit B2B/bulk page - dedicated account management, multi-site, office clearance, compliance packs. Reinforces the bulk / 10-item model.",P2,3,"IT asset disposal, server disposal, data destruction, free collection","Homepage, IT asset disposal page",computer disposal (480) sits here on its business/bulk slice rather than on ITAD to avoid consumer intent on the primary commercial page.

🔲 TO BUILD,Service,Core,Server Disposal & Decommissioning,/server-disposal.html,,server disposal,20,0.12,4.65,"it decommissioning (30), data centre decommissioning, rack removal, chain of custody","Enterprise page for datacentre managers - decommissioning, chain of custody, project managed, asset reporting.",P2,3,"IT asset disposal, data destruction, hard drive destruction, corporate page","Homepage, IT asset disposal page","Low volume, high contract value. Site already names datacentres / blade racks as in-scope."

🔲 TO BUILD,Service,Core,IT Asset Recovery & Buyback,/it-asset-recovery.html,,it asset recovery,50,0.02,,"asset disposition, residual value, it asset lifecycle, buyback","Recovery/buyback page - offset disposal cost from residual value, full audit trail, data destruction included.",P3,4,"IT asset disposal, IT equipment recycling, data destruction","Homepage, IT asset disposal page",Different intent from disposal - cost-recovery angle for higher-value fleets.

"SECTOR PAGES  (mirror the four 'Who We Help' pillars - low/no measurable volume, earn their place on relevancy, sector trust and conversion, supported by case studies)",,,,,,,,,,,,,,,,

✅ PUBLISHED,Sector,Core,IT Disposal & Recycling for Schools,/it-disposal-schools.html,https://clearcycleit.co.uk/it-disposal-schools.html,school it disposal,<10,,,"it disposal for schools (0), it recycling for schools (0), chromebook disposal (0), school ict suite clearance","Schools sector page - DBS-checked teams, term-time collections, classroom ICT suite clearance, asset tagging, MAT/trust support.",P1,2,"IT asset disposal, data destruction, free collection, colleges page","Homepage, IT asset disposal page, Manchester school case study","No measurable search volume but a core target sector with a live case study. Strategic P1. Relevancy + conversion play, not traffic."

🔲 TO BUILD,Sector,Core,IT Disposal for Colleges & Universities,/it-disposal-colleges-universities.html,,university it disposal,<10,,,"it disposal for colleges (0), campus it clearance, lab clearance, multi-site collection","Higher-education page - large-scale multi-site clearances, research lab clearances, data sanitisation.",P2,3,"IT asset disposal, schools page, data destruction, free collection","Homepage, schools page",No measurable volume. Sector trust + conversion. Supports the education vertical alongside schools.

